Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total
Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,False,318
Ivysaur,Grass,Poison,60,62,63,80,80,60,1,False,405
Venusaur,Grass,Poison,80,82,83,100,100,80,1,False,525
VenusaurMega Venusaur,Grass,Poison,80,100,123,122,120,80,1,False,625
Charmander,Fire,,39,52,43,60,50,65,1,False,309
Charmeleon,Fire,,58,64,58,80,65,80,1,False,405
Charizard,Fire,Flying,78,84,78,109,85,100,1,False,534
CharizardMega Charizard X,Fire,Dragon,78,130,111,130,85,100,1,False,634
CharizardMega Charizard Y,Fire,Flying,78,104,78,159,115,100,1,False,634
Squirtle,Water,,44,48,65,50,64,43,1,False,314
Wartortle,Water,,59,63,80,65,80,58,1,False,405
Blastoise,Water,,79,83,100,85,105,78,1,False,530
BlastoiseMega Blastoise,Water,,79,103,120,135,115,78,1,False,630
Caterpie,Bug,,45,30,35,20,20,45,1,False,195
Metapod,Bug,,50,20,55,25,25,30,1,False,205
Butterfree,Bug,Flying,60,45,50,90,80,70,1,False,395
Weedle,Bug,Poison,40,35,30,20,20,50,1,False,195
Kakuna,Bug,Poison,45,25,50,25,25,35,1,False,205
Beedrill,Bug,Poison,65,90,40,45,80,75,1,False,395
BeedrillMega Beedrill,Bug,Poison,65,150,40,15,80,145,1,False,495
Pidgey,Normal,Flying,40,45,40,35,35,56,1,False,251
Pidgeotto,Normal,Flying,63,60,55,50,50,71,1,False,349
Pidgeot,Normal,Flying,83,80,75,70,70,101,1,False,479
PidgeotMega Pidgeot,Normal,Flying,83,80,80,135,80,121,1,False,579
Rattata,Normal,,30,56,35,25,35,72,1,False,253
Raticate,Normal,,55,81,60,50,70,97,1,False,413
Spearow,Normal,Flying,40,60,30,31,31,70,1,False,262
Fearow,Normal,Flying,65,90,65,61,61,100,1,False,442
Ekans,Poison,,35,60,44,40,54,55,1,False,288
Arbok,Poison,,60,85,69,65,79,80,1,False,438
Pikachu,Electric,,35,55,40,50,50,90,1,False,320
Raichu,Electric,,60,90,55,90,80,110,1,False,485
Sandshrew,Ground,,50,75,85,20,30,40,1,False,300
Sandslash,Ground,,75,100,110,45,55,65,1,False,450
Nidoran (Female),Poison,,55,47,52,40,40,41,1,False,275
Nidorina,Poison,,70,62,67,55,55,56,1,False,365
Nidoqueen,Poison,Ground,90,92,87,75,85,76,1,False,505
Nidoran (Male),Poison,,46,57,40,40,40,50,1,False,273
Nidorino,Poison,,61,72,57,55,55,65,1,False,365
Nidoking,Poison,Ground,81,102,77,85,75,85,1,False,505
Clefairy,Fairy,,70,45,48,60,65,35,1,False,323
Clefable,Fairy,,95,70,73,95,90,60,1,False,483
Vulpix,Fire,,38,41,40,50,65,65,1,False,299
Ninetales,Fire,,73,76,75,81,100,100,1,False,505
Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,False,270
Wigglytuff,Normal,Fairy,140,70,45,85,50,45,1,False,435
Zubat,Poison,Flying,40,45,35,30,40,55,1,False,245
Golbat,Poison,Flying,75,80,70,65,75,90,1,False,455
Oddish,Grass,Poison,45,50,55,75,65,30,1,False,320
Gloom,Grass,Poison,60,65,70,85,75,40,1,False,395
Vileplume,Grass,Poison,75,80,85,110,90,50,1,False,490
Paras,Bug,Grass,35,70,55,45,55,25,1,False,285
Parasect,Bug,Grass,60,95,80,60,80,30,1,False,405
Venonat,Bug,Poison,60,55,50,40,55,45,1,False,305
Venomoth,Bug,Poison,70,65,60,90,75,90,1,False,450
Diglett,Ground,,10,55,25,35,45,95,1,False,265
